name,definition,grammar
ad,"to, toward",TBA
agno,lamb,TBA
agnum,lamb,TBA
agnus,lamb,TBA
alba,white,TBA
albus,white,TBA
america,america,TBA
americam,America,TBA
baa,baa,TBA
columbo,Columbus,TBA
columbus,Columbus,TBA
cum,with,TBA
dedit,gave,TBA
dixit,said,TBA
ergo,therefore,TBA
est,"to be, to exist",TBA
fuit,was,TBA
habuit,had,TBA
in,"in, into, on",TBA
india,India,TBA
indiam,India,TBA
invenit,found,TBA
isabella,Isabella,TBA
isabellam,Isabella,TBA
marcus,Marcus,TBA
maria,Maria,TBA
mundus,world,TBA
nauta,sailor,TBA
navem,ship,TBA
navis,ship,TBA
non,not,TBA
parva,small,TBA
parvum,small,TBA
pecuniam,money,TBA
planus,flat,TBA
puella,girl,TBA
regina,queen,TBA
reginam,queen,TBA
rotunda,round,TBA
rotundus,round,TBA
schola,school,TBA
scholam,school,TBA
sed,but,TBA
venit,came,TBA
vidit,saw,TBA